"link_produk","judul_produk","harga","potongan_harga","flex-none src","rating","terjual","jenis","inline src","kota"
"https://shopee.co.id/Oppo-Reno-15F-5G-12-256GB-Garansi-Resmi-Indonesia-i.143199398.53805141801?extraParams=%7B%22display_model_id%22%3A340473173365%2C%22model_selection_logic%22%3A3%7D&sp_atk=c5941d52-0d7d-4d61-8cb2-b838e56b7200&xptdk=c5941d52-0d7d-4d61-8cb2-b838e56b7200","Oppo Reno 15F 5G 12/256GB Garansi Resmi Indonesia","6.999.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","40 Terjual","5 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/Tecno-Spark-40-6-128GB-8-256GB-Garansi-Resmi-Tecno--i.136745204.52802987519?extraParams=%7B%22display_model_id%22%3A395288297672%2C%22model_selection_logic%22%3A3%7D&sp_atk=d5962638-34db-43a2-ac2b-9a6c462065db&xptdk=d5962638-34db-43a2-ac2b-9a6c462065db","Tecno Spark 40 6/128GB & 8/256GB [Garansi Resmi Tecno]","2.088.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","88 Terjual","4 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/Samsung-Galaxy-A07-5G-6-128GB-Garansi-Resmi-SEIN-i.143199398.48106662159?extraParams=%7B%22display_model_id%22%3A425597012458%2C%22model_selection_logic%22%3A3%7D&sp_atk=d6f6f8f6-c69e-4b59-897f-b5fe085ce116&xptdk=d6f6f8f6-c69e-4b59-897f-b5fe085ce116","Samsung Galaxy A07 5G 6/128GB Garansi Resmi SEIN","2.799.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","7 Terjual","5 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/Samsung-Galaxy-A07-Helio-G99-(6nm)-6.7-PLS-LCD-Infinity-U-Display-90Hz-50MP-5MP-Bluetooth-v5.3-5000-mAh-25W-Fast-Charging-i.29471017.41515436509?extraParams=%7B%22display_model_id%22%3A169073240336%2C%22model_selection_logic%22%3A3%7D&sp_atk=c97e70fd-8ec2-4ae2-9b82-03da94136d91&xptdk=c97e70fd-8ec2-4ae2-9b82-03da94136d91","Samsung Galaxy A07 | Helio G99 (6nm) | 6.7"" PLS LCD, Infinity-U Display, 90Hz | 50MP + 5MP | Bluetooth v5.3 | 5000 mAh 25W Fast Charging","1.698.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","135 Terjual","5 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/INFINIX-HOT-60-PRO-PLUS-8GB-128GB-BLACK-SILVER-i.1039970542.47453993290?extraParams=%7B%22display_model_id%22%3A400377403006%2C%22model_selection_logic%22%3A3%7D&sp_atk=83bcb1a7-9d40-433f-9527-a263a21426cd&xptdk=83bcb1a7-9d40-433f-9527-a263a21426cd","INFINIX HOT 60 PRO PLUS 8GB 128GB BLACK SILVER","2.779.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","58 Terjual","5 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/Xiaomi-Redmi-15-(8GB-128GB)-(8GB-256GB)-Baterai-besar-7000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-144Hz-50MP-kamera-ganda-AI-Official-Store--i.51925611.25631088302?extraParams=%7B%22display_model_id%22%3A186266664126%2C%22model_selection_logic%22%3A3%7D&sp_atk=96fb00e8-22d6-406b-9d73-299c12e11307&xptdk=96fb00e8-22d6-406b-9d73-299c12e11307","Xiaomi Redmi 15 (8GB/128GB) (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 144Hz | 50MP  kamera ganda AI [Official Store]","2.299.000","-8%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","10RB+ Terjual","2-3 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Kab. Tangerang"
"https://shopee.co.id/-NEW-OPPO-A6x-4GB-6GB-64GB-128GB-256GB-8GB-128GB-IP64-Water-Dust-Resistance-6500mAh-Large-Battery-Snapdragon-685-120Hz-Fast-Responsive-Screen--i.13140292.45502028831?extraParams=%7B%22display_model_id%22%3A325308231014%2C%22model_selection_logic%22%3A3%7D&sp_atk=49a2c940-0208-4390-8522-b22e0348220f&xptdk=49a2c940-0208-4390-8522-b22e0348220f","[NEW] OPPO A6x 4GB/6GB+64GB/128GB/256GB & 8GB+128GB  [IP64 Water & Dust Resistance, 6500mAh Large Battery, Snapdragon 685, 120Hz Fast Responsive Screen]","2.799.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","3RB+ Terjual","2-4 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Tangerang"
"https://shopee.co.id/Xiaomi-Redmi-15-8-128GB-8-256GB-RAM-8GB-ROM-128GB-256GB-Garansi-Resmi-1-Tahun-i.160369383.8356900793?extraParams=%7B%22display_model_id%22%3A35506389402%2C%22model_selection_logic%22%3A3%7D&sp_atk=d7194db8-b45c-49ee-9271-0a6b437d9a47&xptdk=d7194db8-b45c-49ee-9271-0a6b437d9a47","Xiaomi Redmi 15 8/128GB 8/256GB RAM 8GB ROM 128GB 256GB - Garansi Resmi 1 Tahun","2.433.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","2RB+ Terjual","5 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/POCO-C85-(6-128-GB)-(8-256-GB)-Baterai-besar-6000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-120Hz-50MP-kamera-ganda-AI-Official-Store--i.1632696269.40073223549?extraParams=%7B%22display_model_id%22%3A306884985352%2C%22model_selection_logic%22%3A3%7D&sp_atk=7e2cdb55-40f6-44ac-9d12-1d04fbdbe34e&xptdk=7e2cdb55-40f6-44ac-9d12-1d04fbdbe34e","POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]","1.949.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","5RB+ Terjual","2-3 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Kab. Tangerang"
"https://shopee.co.id/Samsung-Galaxy-A17-5G-LTE-8-256GB-Original-Garansi-Resmi-i.1101386382.25406703010?extraParams=%7B%22display_model_id%22%3A296626360942%2C%22model_selection_logic%22%3A3%7D&sp_atk=115023f6-9d1b-48bb-8c82-47a6c26d65e8&xptdk=115023f6-9d1b-48bb-8c82-47a6c26d65e8","Samsung Galaxy A17 5G  LTE 8/256GB Original, Garansi Resmi","3.099.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","1RB+ Terjual","Besok","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Bogor"
