Produk,Harga_Produk,Produk_Terjual,Lokasi_Toko,E-Commerce
DZL - HP XIAOMI Redmi 15 8/256 8/128 GB NFC Original Garansi Resmi Official Store Handphone Ori,2549000,1000.0,sleman (kabupaten),Shopee
"HP NOKIA 150 2023 (BARU)Kamera, Dual SIM [GARANSI 1 TAHUN]",188000,2000.0,jakarta utara (kota),Shopee
Smartphone Vivo Y17 RAM 8-256GB ANDROID,879000,162.0,tangerang (kabupaten),Shopee
Xiaomi Redmi Note 15 4G LTE 8/128GB 8/256GB RAM 8GB ROM 128GB 256GB - Garansi Resmi 1 Tahun,3035000,7000.0,surabaya (kota),Shopee
iPhone17 Pro Max hdc Android11 Garansi bisa behasa Indonesia 6.9inch,1450699,58.0,jakarta utara (kota),Shopee
realme 16 & 16 Pro 5G 12/256GB (12GB+14GB Extended RAM) Official Store HP Android Terbaru Handphone,5059080,6.0,jakarta utara (kota),Shopee
"OPPO Reno12 F 5G 12GB+256GB/512GB [AI Potrait Expert, All-Round Armour, Dimensity 6300, 45W SUPERVOOC 5000mAh]",6199000,4000.0,tangerang (kota),Shopee
Samsung Galaxy A56 5G 8/256GB - Awesome Pink,6699000,9000.0,jakarta utara (kota),Shopee
Tecno Spark Go 3 | 5000 mAh,1399000,2.0,jakarta barat (kota),Shopee
Samsung Galaxy A56 5G 12/256GB - Awesome Pink,7199000,4000.0,surabaya (kota),Shopee
"HP SMARTPHONE VIVO Y17 8GB/256GB Fullset GARANSI 12 Bulan, BATTERAY 5000mAh",787000,72.0,jakarta barat (kota),Shopee
Tecno Spark Go 3 4/64GB | 4/128GB 6.74 Inch Garansi Resmi,1580000,5.0,balikpapan (kota),Shopee
Handphone asli ori vivo y71 Android smartphone 6+128 GARANSI,599000,150.0,tangerang (kabupaten),Shopee
Infinix Hot 60 Pro 8/256GB - Garansi Resmi,2574000,1000.0,banjarmasin (kota),Shopee
NOKIA Handphone | HP Nokia 105 2023 - Nokia Jadul - Original Garansi TAM 1Tahun,259000,758.0,surabaya (kota),Shopee
XIAOMI REDMI 15 8/128 GB - 8/256 GB Garansi Resmi [BISA INSTAN AREA MALANG],2529000,471.0,malang (kota),Shopee
ZTE Nubia V80 Max 6/128GB | 8/128GB 6.9 Inch Garansi Resmi,1789000,3.0,balikpapan (kota),Shopee
Samsung A14 4G Ram 6 Rom 128GB Kamera Triple (Second),1500199,201.0,surabaya (kota),Shopee
"vivo iQOO Z10,Snapdragon 7s Gen 3,7300mAh + 90Watt,  AnTuTu 822,705, 50MP Sony IMX + OIS,120Hz Quad-Curved AMOLED",3999000,2000.0,tangerang (kabupaten),Shopee
Xiaomi Redmi 15C [8GB+256GB] - Garansi Resmi 1 Tahun,2049000,1000.0,jakarta utara (kota),Shopee
Nubia Neo 3 GT 8/256GB - ZTE Nubia Neo 3 GT 5G 12/256GB 8/256GB Garansi Resmi 1 Tahun,2737000,500.0,jakarta pusat (kota),Shopee
[Official Store] realme P3 Lite 4/128GB 4+8GB Extended RAM Garansi resmi HP Android Murah Handphone,1701080,56.0,jakarta utara (kota),Shopee
Itel s25 NFC ram 8/128gb itel s23 ram 8+8/256Gb ram 8+8/128Gb Garansi resmi by infinix,1798000,60.0,tangerang (kota),Shopee
OPPO A5 NFC 8/256GB ( +8GB Extended RAM ) Garansi Resmi OPPO,1699000,2000.0,bekasi (kota),Shopee
Samsung Galaxy A07 4/64GB | 4/128GB | 6/128GB | 8/256GB,1708000,254.0,surabaya (kota),Shopee
Vivo V70 5G 12/256GB NFC (12GB+12GB Extended RAM) Handphone Official Store HP Terbaru 2026 Ori COD,8739080,2000.0,jakarta utara (kota),Shopee
[NEW] OPPO A6x 4/128GB (4+4GB Extended RAM) Snapdragon 685 Garansi Resmi Indonesia HP Terbaru 2026,1931080,449.0,jakarta utara (kota),Shopee
Xiaomi Redmi Note 15 Pro 5G 8/256 12/512 GB Dimensity 7400-Ultra 200MP - Garansi Resmi 1 Tahun,4795000,35.0,surabaya (kota),Shopee
Era 2000 - ZTE Nubia V80 Max [6/128 | 8/128] Garansi Resmi,1706000,11.0,bandung (kota),Shopee
iPhone 13 ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second IP Fullset,9908800,2000.0,jakarta selatan (kota),Shopee
DZL - HP XIAOMI Redmi A7 Pro 4/128 GB Original TAM Garansi Resmi Official Store Ori Penerus Redmi A5,1699000,1000.0,sleman (kabupaten),Shopee
VIVO Y17 RAM 8GB+256GB 5000mAh 4G LTE Ponsel pintar Garansi 1 Tahun,848000,782.0,jakarta utara (kota),Shopee
"Samsung Galaxy A36 5G 8/256GB 12/256GB Original, Garansi SEIN",5499000,1000.0,jakarta selatan (kota),Shopee
Infinix Note 50X 5G+ 8/256GB - Up to 16GB Extended RAM - Dimensity 7300 Ultimate - 6.67” HD+ - 50MP OIS - 5200 mAh - NFC,2869000,10000.0,jakarta utara (kota),Shopee
"INFINIX SMART 20 4/128 4/64 - Helio G81 Ultimate - 6.78"" 120Hz HD+ - 5200 mAh",1675000,5.0,ponorogo (kabupaten),Shopee
SAMSUNG Galaxy A26 5G 8/256GB,4199000,333.0,banjarbaru (kota),Shopee
Samsung Galaxy A56 5G 12/256GB - Awesome Pink | Galaxy AI | 50MP Camera | 45W Super Fast Charge,6799000,2000.0,tangerang (kabupaten),Shopee
Handphone HP Nokia 105 2024 Jadul - Original Garansi Resmi 1Tahun,282000,376.0,bandung (kota),Shopee
Xiaomi Redmi 15C 6/128GB | 8/256GB  - Garansi Resmi,2023000,2000.0,surabaya (kota),Shopee
"Xiaomi Redmi A5 4/128GB Kamera 32MP Layar 6.88"" - Garansi Resmi",1689000,1000.0,banjarbaru (kota),Shopee
Smartphone Y17 RAM 8/256GB Garansi 1 th Distributor,830000,104.0,jakarta barat (kota),Shopee
"Poco C71 4/128 GB Layar 6,88"" Prosesor Unisoc",1499000,425.0,surabaya (kota),Shopee
NOKIA Handphone | HP Nokia 105 2023 - Nokia Jadul - Original Garansi TAM 1Tahun,259000,758.0,surabaya (kota),Shopee
SAMSUNG Galaxy A26 5G 8/256GB,4199000,333.0,banjarbaru (kota),Shopee
iphone 17pro max 1:1 HDC phone 8/512GB bisa wifi behasa indo,1426380,291.0,jakarta utara (kota),Shopee
Vivo V60 5G [8GB/256GB] Snapdragon7 Gen4 Zeiss Original 2Yr Warranty,3589000,15.0,jakarta barat (kota),Shopee
Xiaomi Redmi Note 15 Pro 5G - 200MP Camera | 6580mAh | HyperAI [Garansi Resmi],4899000,31.0,surabaya (kota),Shopee
VIVO Y17 RAM 8GB+256GB 5000mAh 4G LTE Ponsel pintar Garansi 1 Tahun,848000,782.0,jakarta utara (kota),Shopee
DZL - HP INFINIX Smart 20 4/128 4/64 GB 5200 mAh Original Resmi Official Store Ori Penerus Smart 10,1519000,1000.0,sleman (kabupaten),Shopee
Samsung Galaxy A26 5G 8/256GB [ Garansi Resmi SEIN ],4999000,143.0,mojokerto (kabupaten),Shopee
Samsung Galaxy A07 LTE 8+8/256gb  Garansi resmi,1695000,55.0,makassar (kota),Shopee
Xiaomi Poco F7 5G Ram 12 Rom 512GB Segel Original & Bergaransi Resmi,5999000,14.0,surabaya (kota),Shopee
(REAL STOK) HP VIVO Y19 RAM 8/256GB 4G Smartphone Fullset Garansi 1 Tahun,825000,25.0,jakarta barat (kota),Shopee
XIAOMI REDMI 15C 8GB 256GB 6GB 128GB 8/256 6/128 - XIAOMI REDMI A5 4GB 128GB 4/128GB NEW BARU SEGEL GARANSI RESMI XIAOMI INDONESIA,1999000,648.0,jakarta utara (kota),Shopee
Xiaomi Redmi 15 8/128 8/256 7000mAH Refresh Rate 144hz Snapdragon 685 - Garansi 15 Bulan,2433000,723.0,surabaya (kota),Shopee
Realme C71 4/128GB 6/128GB 8/128GB [ Garansi Resmi Realme ],2050000,242.0,sleman (kabupaten),Shopee
Handphone HP Nokia 105 2024 Jadul - Original Garansi Resmi 1Tahun,282000,376.0,bandung (kota),Shopee
"HP NOKIA 150 2023 (BARU)Kamera, Dual SIM [GARANSI 1 TAHUN]",188000,2000.0,jakarta utara (kota),Shopee
Mobile World Xiaomi Redmi 15C 6GB/128GB I Redmi 14C 6 GB/128 GB,2039000,2000.0,tangerang (kabupaten),Shopee
hp iP 17 Pro Max hdc Android11 Garansi bisa behasa Indonesia 6.9inch,1337473,62.0,jakarta utara (kota),Shopee
Infinix Note 50 Pro 8/256GB - Garansi Resmi,3199000,833.0,banjarbaru (kota),Shopee
POCO F7 5G 12/512 GB BNIB Baru Garansi Resmi Xiaomi,6139000,271.0,surabaya (kota),Shopee
INFINIX SMART 20 (4/64) & (4/128) - GARANSI RESMI,1599000,79.0,banjarmasin (kota),Shopee
Xiaomi Redmi 15C 6/128 | 8/256GB NEW GARANSI RESMI,1999000,1000.0,surabaya (kota),Shopee
Samsung galaxy A56 5g 12/256 Free adaptor Garansi Resmi Samsung Indonesia,5090000,192.0,surabaya (kota),Shopee
SAMSUNG A56 5G 12/256GB // 8/256GB SECOND MULUS TERAWAT RESMI INDONESIA,5579000,111.0,sidoarjo (kabupaten),Shopee
POCO X7 Pro 5G 12/512 GB BNIB No Repack Garansi Xiaomi Indonesia,5299000,778.0,surabaya (kota),Shopee
OPPO A3x 6/128GB ( +6GB Extended Ram ) Garansi Resmi Oppo,1899000,5000.0,bekasi (kota),Shopee
Xiaomi Redmi 15 [8GB+256GB] - Garansi Resmi 1 Tahun,2499000,695.0,jakarta utara (kota),Shopee
"Infinix Smart 10 (Ram 4GB, Rom 64/128GB, IP64, Refresh Rate 120Hz)",1502000,193.0,malang (kota),Shopee
"vivo iQOO Z10 [BISA INSTAN PENGIRIMAN], 7300mAh + 90Watt, Snapdragon 7s Gen 3, AnTuTu 822,705, 120Hz Quad-Curved AMOLED, 50MP Sony IMX + OIS + NFC",3999000,310.0,surabaya (kota),Shopee
Xiaomi Poco X7 5G 12/512GB 8/256GB  Original Garansi Resmi,3599000,78.0,surabaya (kota),Shopee
DZL - HP XIAOMI Redmi Note 15 Pro 5G 12/512 8/256 GB Resmi Official Store Ori Penerus Note 14 Pro 5G,4799000,202.0,sleman (kabupaten),Shopee
"INFINIX HOT 60 PRO+ 8/256 GB, HOT 60 PRO+ 8/128 GB, HOT 60 PRO 8/256 GB,HOT 60 i 8/256 GB (GARANSI RESMI )",2500000,3000.0,surabaya (kota),Shopee
Samsung Galaxy A56 5G 8/256GB - Awesome Graphite,6699000,6000.0,surabaya (kota),Shopee
Samsung Galaxy A56 5G 12/256GB - Awesome Pink,7199000,4000.0,surabaya (kota),Shopee
REDMI 14C 8/256GB // 6/128GB SECOND SUPER MULUS,1489000,20.0,sidoarjo (kabupaten),Shopee
DZL - HP XIAOMI Redmi Note 15 5G 12/512 8/256GB Original Resmi Official Store Ori Penerus Note 14 5G,3849000,676.0,sleman (kabupaten),Shopee
SAMSUNG A17 LTE 8/128 GB - 8/256 GB Garansi Resmi [BISA INSTAN AREA MALANG],3099000,122.0,malang (kota),Shopee
REDMI A5 4/128 GB GARANSI RESMI INDONESIA NEW 100% original,1650000,31.0,surabaya (kota),Shopee
"Apple iPhone 15 128GB, Black",12349000,8000.0,jakarta barat (kota),Shopee
infinix hot 60i 6/128 new fresh garansi resmi bnib,1889900,211.0,surabaya (kota),Shopee
TECNO CAMON 50 NFC | 8GB / 128GB | 8GB / 256GB | 12GB / 256GB | HELIO G200 | 50 MP SONY LYT-700C ULTRA NIGHT CAMER | GARANSI RESMI TAM / TECNO INDONESIA,3749000,66.0,sidoarjo (kabupaten),Shopee
"Poco C71 4+128 GB Layar 6,88 Inch Baru",1370000,290.0,surabaya (kota),Shopee
Xiaomi Redmi 15C 6/128 8/256 | 6/128GB 8/256GB | 6GB 8GB 128GB 256GB Garansi Resmi,2129000,643.0,denpasar (kota),Shopee
Poco F7 5G 12/512 GB Garansi Resmi New,6098000,618.0,surabaya (kota),Shopee
Xiaomi Redmi 15 8/128 8/256 Garansi Resmi Xiaomi Indonesia,2569000,1000.0,jakarta pusat (kota),Shopee
Redmi Note 15 5g (12/512 GB) (8/256 GB) (6/128 GB) - Garansi Resmi [Bisa Instant Area Malang],3799000,111.0,malang (kota),Shopee
"Tecno Pova 7 5G 8/128GB & 8/256GB, Mediatek D7300 Ultimate 50MP 6000 mAh | Garansi Resmi Tecno 1 Tahun",2971000,412.0,tangerang (kota),Shopee
"TECNO POVA Curve 5G RAM 8/256GB, 5500mmAh + Bypass Charging 2.0 Curved AMOLED Display",3049000,33.0,jakarta utara (kota),Shopee
"[ Official Store ]OPPO A6s 8+128/8+256 7000mAh+80W IP66,IP68,IP69 Splash Touch Glove Touch",4899000,137.0,jakarta utara (kota),Shopee
"[ONLINE EXCLUSIVE] vivo V60 Lite 4G (8/128) 50MP Sony Camera, 6500 mAh + 90W FlashCharge, Bypass Charging, AI Four-Seasons, SGS 5-Star Drop Resistance",4699000,992.0,Tidak Diketahui,Shopee
Poco X7 Pro 5G 12/512GB - Garansi RESMI,5490000,562.0,depok (kota),Shopee
VIVO Y05 4+128GB/4+64GB IP65 dust tight and water resistant Garansi Resmi Hp Vivo Terbaru 2026 Ori,1899000,379.0,jakarta utara (kota),Shopee
12 Pro 128gb/256gb/512gb Secondhand Like New Original Bergaransi,4995000,622.0,semarang (kota),Shopee
Xiaomi Redmi 15C [8GB+256GB] - Garansi Resmi 1 Tahun,2049000,1000.0,jakarta utara (kota),Shopee
realme C71 (8/128) - Garansi Resmi Realme Indonesia,2351020,343.0,jakarta utara (kota),Shopee
Samsung Galaxy A26 5G 8/256GB - GARANSI RESMI,4559000,14.0,palangka raya (kota),Shopee
Vivo Y05 Y21d - 4GB/6GB/8GB Extended RAM Official Store HP Android Murah Terbaru 2026 Handphone COD,2575080,10000.0,jakarta utara (kota),Shopee
Realme C71 (4/128GB) (6/128) (8/128) NFC Garansi Resmi,2149000,22.0,palangka raya (kota),Shopee
Hp Vivo Y05 4/64GB 4/128GB (4+4GB Extended RAM) Garansi Resmi Hp Murah Vivo Terbaru 2026 Bisa COD,1899000,731.0,jakarta utara (kota),Shopee
XIAOMI 17 ULTRA 16/1024GB BLACK,22999000,0.0,jakarta selatan (kota),Shopee
iphone THR lebaran-amplop lebaran iphone 17 promax,5613,996.0,bogor (kabupaten),Shopee
HP Printer Smart Tank 580 All In One Print Scan Copy Wireless Wifi [1F3Y2A],2299000,1000.0,surabaya (kota),Shopee
