Produk,Harga_Produk,Produk_Terjual,Lokasi_Toko,E-Commerce
"[NEW] TECNO SPARK Go 3 4GB+4GB*/64GB, IP64, 6.75"" HD+, 120Hz Smooth Display, 5000mAh, 15W* Charging, TECNO AI - sparkgo3",1599000.0,500.0,jakarta barat (kota),tokopedia
"TENO SPARK 20 Pro+ 8/256GB - HP Kamera 108MP Termurah! - Smartphone - Hasil Foto Setara Flagship, Desain Dynamic Island Kekinian. Flash Sale!",1379281.0,4.0,tangerang (kabupaten),tokopedia
[ RESMI ] Apple iPhone 17 Pro 256GB 512GB 1TB A19 Pro Garansi Resmi - ID PA SA/A - [ DIGITECH },24039000.0,4000.0,jakarta pusat (kota),tokopedia
S 24 Ultra 7.5Inci Android 14.0 7800mAh 72MP+108MP 16GB+1TB Snapdragon Handphone,2713459.0,3.0,tangerang (kabupaten),tokopedia
[Bisa COD]HP  S25 UItra2025 Murahcuci gudang Handphone Asli 7.5inci Layar12GB+256GB 5G WiFi Bluetooth Android 14.0dengan 8000mAh Kamera 72MP+108MP10Core Face Unlocked Fingerprint IDSnapdragon 8 Gen2 Metal Built-in Frame,1371083.0,1.0,tangerang (kabupaten),tokopedia
OPPQ A10 Smartphone8+128GB.6.5 Inches-Cellphone telephone mу  type  phone 15  pro 15  plus iphone  11  housing  iphone  16,1320617.0,21.0,tangerang (kabupaten),tokopedia
[ Produk Baru ] HP murah Samsng S 25 Ultra+ 7.5inci HD Layar 16GB+1TB handphone cuci gudang 4G/5G WIFI Dual Card SIM 8000mAh Android14.0 2025 Original smart phone Bisa COD,1202095.0,60.0,surabaya (kota),tokopedia
PROMO CUCI GUDANG: S.24 Ultra 2024 7.3 Inch 8000mAh 72MP+108MP Night Portrait 16+1TB Android 14.0 Face Unlock Bisa COD Murah,1327255.0,3.0,tangerang (kabupaten),tokopedia
Vivo V70 5G 12/256GB 12GB+12GB Extended RAM Garansi Resmi HP Android Official Store Handphone COD,8999000.0,3.0,jakarta utara (kota),tokopedia
Hp Y20S ram 6/128 GB 6.51 inches Smartphone Dual SIM 5000 mAh,848000.0,100.0,jakarta utara (kota),tokopedia
"Galaxy A16 smartphone 16+512GB Kecerahan Penuh Meningkat, Pengisian Daya Sangat Cepat",1312064.0,50.0,jakarta barat (kota),tokopedia
Smartphone android Y67 Y66 Y55 RAM 6/128GB GARANSI 12 BULAN,449000.0,10.0,jakarta barat (kota),tokopedia
[ 2025 NEW ] G 30 HP Murah 5G 12GB+512GB Layar Lebar Dual Kartu Tahan Air,1175241.0,1.0,surabaya (kota),tokopedia
BARU Y67 DI LIVE HARGA MURAH BERGARANSI 12 BULAN HP MURAH Handphone Smart Smartphone Camera Led,1400000.0,1.0,jakarta barat (kota),tokopedia
"[Cicilan 12 Bulan] HP V27e Android 14 Layar 7,3 Inci 8000mAh 72MP+108MP Kamera 16GB+1TB 4G/5G WiFi Dual SIM Handphone Cuci Gudang 2026",1673631.0,8.0,tangerang (kabupaten),tokopedia
Smartphone 5G Galaxy S24 Ultra Handphone Android14.0 7.5inci Layar Smartphone 5G HP Terbaru Dual SIM Card 8000mAh 16GB +1TB COD,1215064.0,250.0,surabaya (kota),tokopedia
Xiaomi POCO C71 4/128GB Garansi Resmi,1445900.0,100.0,jakarta pusat (kota),tokopedia
[ LIVE SPESIAL ] INFINIX SMART 10 4/64 & 4/128 NEW GARANSI RESMI,2098000.0,1000.0,medan (kota),tokopedia
[2025 NEW ]  Mini HP Phone hp Mini android RAM 8GB/128GB jaringan 4G  NEW GARANSI RESMI,720000.0,9.0,jakarta barat (kota),tokopedia
ITEL A27 2/32 GARANSI RESMI ITEL,758000.0,10000.0,palembang (kota),tokopedia
CASH & CREDIT HP INFINIX ZERO 30 RAM 8/256 HANDPHONE SECOND LIKE NEW,1311940.0,20.0,jakarta selatan (kota),tokopedia
HP SMARTPHONE A 3 S RAM 8 / 256GB BERGARANSI 12 BULAN BISA COD,1309953.0,30.0,jakarta barat (kota),tokopedia
Realme 15 5G [8GB+256GB] [12GB+256GB] Display OLED 144Hz 6.8 inches - Dimensity 7300+ - 7000mAh - Garansi Resmi 1 Tahun,4490998.0,80.0,pasuruan (kabupaten),tokopedia
Oppo A37 Ram 2gb Internal 16gb,1312212.0,40.0,tangerang (kabupaten),tokopedia
Infinix Smart 9 4+4/128 New Garansi Resmi,1219836.0,100.0,lumajang (kabupaten),tokopedia
"[COD Cepat] HP  S 25 Ultra Android 14.0 Layar 7,3 Inci 8000mAh 72MP+108MP 16GB+1TB 5G Handphone Gaming Cuci Gudang 2026",1356377.0,1.0,tangerang (kabupaten),tokopedia
iphone 5s ex inter 16gb,8599900.0,30.0,tangerang (kabupaten),tokopedia
